((-6.5, 1.0, 3.3);43)|((-6.6, 1.0, 3.4);42)
((-6.5, 1.0, 3.3);43)|((-6.4, 1.0, 3.3);42)
((-6.5, 1.0, 3.3);43)|((-6.5, 1.0, 3.1);42)
((-6.5, 1.0, 3.3);43)|((-6.6, 1.0, 3.3);42)
((-6.5, 1.0, 3.3);43)|((-6.6, 1.0, 3.5);42)
((-6.5, 1.0, 3.3);43)|((-6.4, 1.0, 3.4);42)
((-6.5, 1.0, 3.3);43)|((-6.4, 1.0, 3.1);42)
((-6.5, 1.0, 3.3);43)|((-6.3, 1.0, 3.2);42)
((-6.5, 1.0, 3.3);43)|((-6.3, 1.0, 3.3);42)
((-6.5, 1.0, 3.3);43)|((-6.4, 1.0, 3.2);42)
((-7.3, 1.0, 2.5);43)|((-7.1, 1.0, 2.6);42)
((-7.3, 1.0, 2.5);43)|((-7.3, 1.0, 2.3);42)
((-7.3, 1.0, 2.5);43)|((-7.2, 1.0, 2.5);42)
((-7.3, 1.0, 2.5);43)|((-7.4, 1.0, 2.3);42)
((-7.3, 1.0, 2.5);43)|((-7.1, 1.0, 2.4);42)
((-7.3, 1.0, 2.5);43)|((-7.1, 1.0, 2.5);42)
((-7.3, 1.0, 2.5);43)|((-7.5, 1.0, 2.6);42)
((-7.3, 1.0, 2.5);43)|((-7.3, 1.0, 2.6);42)
((-7.3, 1.0, 2.5);43)|((-7.4, 1.0, 2.7);42)
((-7.3, 1.0, 2.5);43)|((-7.3, 1.0, 2.5);42)
((-7.3, 1.0, 2.5);43)|((-7.4, 1.0, 2.5);42)
((-7.3, 1.0, 2.5);43)|((-7.3, 1.0, 2.4);42)
((-7.3, 1.0, 2.5);43)|((-7.2, 1.0, 2.6);42)
((-7.3, 1.0, 2.5);43)|((-7.4, 1.0, 2.4);42)
((-7.3, 1.0, 2.5);43)|((-7.2, 1.0, 2.7);42)
((-7.3, 1.0, 2.5);43)|((-7.5, 1.0, 2.5);42)
((-7.3, 1.0, 2.5);43)|((-7.3, 1.0, 2.7);42)
((-7.3, 1.0, 2.5);43)|((-7.2, 1.0, 2.3);42)
((-7.3, 1.0, 2.5);43)|((-7.2, 1.0, 2.4);42)
((-7.3, 1.0, 2.5);43)|((-7.4, 1.0, 2.6);42)
((-7.3, 1.0, 2.5);43)|((-7.5, 1.0, 2.4);42)
((4.2, 1.0, 3.4);43)|((4.4, 1.0, 3.5);42)
((4.2, 1.0, 3.4);43)|((4.4, 1.0, 3.3);42)
((4.2, 1.0, 3.4);43)|((4.2, 1.0, 3.5);42)
((4.2, 1.0, 3.4);43)|((4.1, 1.0, 3.3);42)
((4.2, 1.0, 3.4);43)|((4.3, 1.0, 3.5);42)
((4.2, 1.0, 3.4);43)|((4.3, 1.0, 3.6);42)
((4.2, 1.0, 3.4);43)|((4.2, 1.0, 3.4);42)
((4.2, 1.0, 3.4);43)|((4.4, 1.0, 3.4);42)
((4.2, 1.0, 3.4);43)|((4.0, 1.0, 3.3);42)
((4.2, 1.0, 3.4);43)|((4.3, 1.0, 3.2);42)
((4.2, 1.0, 3.4);43)|((4.0, 1.0, 3.4);42)
((4.2, 1.0, 3.4);43)|((4.3, 1.0, 3.4);42)
((4.2, 1.0, 3.4);43)|((4.3, 1.0, 3.3);42)
((4.2, 1.0, 3.4);43)|((4.1, 1.0, 3.2);42)
((4.2, 1.0, 3.4);43)|((4.2, 1.0, 3.3);42)
((4.2, 1.0, 3.4);43)|((4.2, 1.0, 3.2);42)
((4.2, 1.0, 3.4);43)|((4.1, 1.0, 3.4);42)
((8.0, 1.0, 3.9);43)|((8.0, 1.0, 3.9);42)
((8.0, 1.0, 3.9);43)|((8.1, 1.0, 3.7);42)
((8.0, 1.0, 3.9);43)|((8.0, 1.0, 3.7);42)
((8.0, 1.0, 3.9);43)|((7.8, 1.0, 3.9);42)
((8.0, 1.0, 3.9);43)|((8.0, 1.0, 4.0);42)
((8.0, 1.0, 3.9);43)|((7.8, 1.0, 3.8);42)
((8.0, 1.0, 3.9);43)|((8.1, 1.0, 3.8);42)
((8.0, 1.0, 3.9);43)|((8.0, 1.0, 3.8);42)
((8.0, 1.0, 3.9);43)|((8.1, 1.0, 3.9);42)
((8.0, 1.0, 3.9);43)|((7.8, 1.0, 4.0);42)
((8.0, 1.0, 3.9);43)|((8.2, 1.0, 4.0);42)
((8.0, 1.0, 3.9);43)|((7.9, 1.0, 3.8);42)
((8.0, 1.0, 3.9);43)|((8.1, 1.0, 4.0);42)
((8.0, 1.0, 3.9);43)|((8.2, 1.0, 3.9);42)
((8.0, 1.0, 3.9);43)|((8.2, 1.0, 3.8);42)
((8.0, 1.0, 3.9);43)|((7.9, 1.0, 3.9);42)
((8.0, 1.0, 3.9);43)|((7.9, 1.0, 4.0);42)
((8.0, 1.0, 3.9);43)|((7.9, 1.0, 3.7);42)
((6.5, 1.0, 4.0);43)|((6.5, 1.0, 4.0);42)
((6.5, 1.0, 4.0);43)|((6.5, 1.0, 3.9);42)
((6.5, 1.0, 4.0);43)|((6.6, 1.0, 4.0);42)
((6.5, 1.0, 4.0);43)|((6.7, 1.0, 4.0);42)
((6.5, 1.0, 4.0);43)|((6.3, 1.0, 4.0);42)
((6.5, 1.0, 4.0);43)|((6.3, 1.0, 3.9);42)
((6.5, 1.0, 4.0);43)|((6.6, 1.0, 3.9);42)
((6.5, 1.0, 4.0);43)|((6.5, 1.0, 3.8);42)
((6.5, 1.0, 4.0);43)|((6.4, 1.0, 3.8);42)
((6.5, 1.0, 4.0);43)|((6.4, 1.0, 4.0);42)
((6.5, 1.0, 4.0);43)|((6.6, 1.0, 3.8);42)
((6.5, 1.0, 4.0);43)|((6.7, 1.0, 3.9);42)
((6.5, 1.0, 4.0);43)|((6.4, 1.0, 3.9);42)
((-5.8, 1.0, -3.9);43)|((-5.8, 1.0, -3.9);42)
((-5.8, 1.0, -3.9);43)|((-5.6, 1.0, -3.8);42)
((-5.8, 1.0, -3.9);43)|((-6.0, 1.0, -3.9);42)
